Row_Number,Time_Stamp,SockOwner1_Name,SockOwner1_Country,SockOwner1_Gender,SockOwner1_Age,SockOwner1_Smelliness,SockOwner2_Name,SockOwner2_Country,SockOwner2_Gender,SockOwner2_Age,SockOwner2_Smelliness
63,8:23:37,Pablo Powlett,New Zealand,F,89,0.77,Reinald Limer,China,M,94,0.78
64,17:49:21,Maegan Clifforth,China,F,58,0.84,Adria Gyppes,Eritrea,F,21,0.66
65,14:27:39,Eveleen Piser,Indonesia,M,12,0.25,Bell Northrop,Indonesia,F,64,0.54
66,22:41:14,Gun Planque,Greece,M,34,0.79,Colas Vedstra,Philippines,M,34,0.75
67,22:48:15,Jemmie Pistol,China,F,49,0.68,Denys Bourner,Indonesia,F,37,0.63
68,21:22:00,Sven Fromont,Poland,F,29,0.8,Munroe Windmill,Argentina,M,72,0.47
69,17:29:13,Gerick Rozea,Colombia,M,26,0.59,Chauncey Drewery,Ukraine,M,51,0.61
70,22:41:00,Olivero Staggs,Poland,M,32,0.45,Sanson Wigelsworth,Thailand,M,38,0.92
71,22:55:53,Baxter Filan,Poland,M,34,0.95,Nickolaus Ciciotti,China,M,47,0.57
72,18:29:21,Theadora Mathivon,Brazil,F,27,0.73,Laureen Wesley,Mauritius,F,95,0.31
73,1:23:02,Rolfe Tomasicchio,Greece,F,58,0.89,Kleon Schust,Cameroon,M,60,0.5
74,19:10:58,Sissy Meritt,Norway,M,81,0.44,Jenn Wannell,Indonesia,F,20,0.88
75,17:50:13,Alexandros Feld,Philippines,F,34,0.6,Mord Hasker,Pakistan,M,51,0.41
76,8:56:22,Leodora Wellard,Philippines,F,38,0.32,Kimmie Roscow,Ukraine,F,62,0.37
77,6:45:47,Theodor Van Baaren,Poland,F,49,0.49,Burke Brosch,Portugal,M,45,0.44
78,10:54:09,Joan Kenningley,China,F,87,0.38,Calida McGing,Honduras,F,95,0.58
79,23:45:04,Saunders Chasier,Poland,M,12,0.21,Keir Whordley,China,M,3,0.12
80,18:29:19,Sabina Oluwatoyin,Indonesia,M,32,0.75,Anstice Palluschek,South Korea,F,49,0.94
81,2:46:09,Odie Lomasny,Russia,F,14,0.54,Had Mathelin,China,M,3,0.07
82,11:52:35,Melvyn Josefsen,Sri Lanka,M,14,0.49,Derrik Adnet,China,M,55,0.41
83,15:02:37,Delora Burdon,Poland,M,72,0.34,Molly Hazeldene,Portugal,F,68,0.63
84,9:24:47,Isaac McGarel,Ireland,F,67,0.92,Abran Sopp,France,M,1,0.27
85,9:37:59,El Fish,Turkmenistan,M,85,0.49,Dorey Portress,China,M,89,0.46
86,7:06:18,Kathryn Duffil,China,F,79,0.73,Charity Voase,Taiwan,F,33,0.81
87,14:57:39,Louisette Haycock,Peru,F,49,0.59,Lilah Kiera,Portugal,F,2,0.3
88,10:34:50,Liana Seeley,Japan,F,8,0.22,Linnie MacFadyen,Brazil,F,73,0.4
89,19:27:18,Morena Applin,China,F,94,0.52,Sisile Baber,China,F,24,0.63
90,14:57:46,Marwin Jayume,China,F,9,0.26,Derrik Woollhead,China,M,14,0.38
91,5:12:50,Terese Goodliffe,China,F,39,0.7,Nicolle Workman,China,F,77,0.75
92,22:15:31,Janenna Ford,Micronesia,M,38,0.43,Ilysa Guise,Yemen,F,56,0.3
93,15:30:32,Leland Loughlin,Portugal,F,35,0.79,Byran Ixor,New Zealand,M,10,0.12
94,5:23:57,Rasia Lyngsted,Germany,F,5,0.13,Bernete Ginnally,South Africa,F,77,0.38
95,0:41:49,Marsh Towers,Brazil,F,13,0.19,Herschel Ebbrell,Portugal,M,15,0.33
96,1:57:44,Modestine Bagg,Poland,F,38,0.5,Catharina Petrillo,China,F,25,0.67
97,17:04:51,Euphemia Ortiger,Czech Republic,F,95,0.71,Terrie Junes,Morocco,F,36,0.81
98,4:50:30,Thaxter Gilford,China,F,50,0.67,Elden Prudence,Peru,M,64,0.42
99,3:31:41,Carey Dieton,China,M,65,0.77,Pete Pickerill,Indonesia,M,29,0.82
100,6:55:33,Issy Dunckley,Paraguay,F,86,0.75,Bobette Aleavy,Japan,F,16,0.39
101,18:33:29,Naomi Gives,Indonesia,F,54,0.95,Shani Atton,Peru,F,9,0.22
102,17:34:45,Jard St. Hill,Indonesia,F,23,0.74,Brandy Buzin,Sweden,M,86,0.69
103,22:59:35,Dolph Biddell,China,F,49,0.95,Gordan Burston,Ireland,M,46,0.62
104,21:36:27,Trula Francecione,Russia,M,24,0.32,Alvira Arthan,Portugal,F,3,0.04
105,13:04:14,Eydie Maha,Brazil,F,64,0.43,Anthea Grebner,Mexico,F,7,0.24
106,18:10:35,Chrysler Wavell,Micronesia,F,46,0.9,Lauree Hosier,Greece,F,23,0.81
107,10:52:42,Devland Symones,Indonesia,M,79,0.33,Alisander MacTrustie,Argentina,M,16,0.4
108,3:12:07,Harriett Hawkeswood,Portugal,M,19,0.51,Alika Leving,United States,F,46,0.4
109,5:54:13,Shayne Ciccotto,Indonesia,F,91,0.37,Jerad Pim,Yemen,M,7,0.1
110,12:59:59,Peri Schonfeld,Greece,F,43,0.74,Bev Antonelli,Afghanistan,F,21,0.81
111,4:29:10,Milena Darling,Portugal,F,93,0.85,Camila Kopta,Brazil,F,44,0.85
112,6:32:43,Elle Benfell,Indonesia,F,3,0.19,Marcela Espinos,Brazil,F,25,0.71
113,16:46:49,Lyndell Thickpenny,Ukraine,F,17,0.83,Hortense Dillingham,Ireland,F,90,0.44
114,6:56:53,Alessandro Nix,China,M,34,0.63,Ikey Yearsley,Sweden,M,81,0.59
115,0:19:48,Brian McMychem,Thailand,F,52,0.54,Isador Barkus,Slovenia,M,92,0.47
116,3:59:10,Halette Marjanski,Greece,M,53,0.47,Sula Lawrance,Czech Republic,F,18,0.69
117,17:38:31,Willdon Egleton,China,M,4,0.13,Colver Pendleton,France,M,55,0.5
118,7:53:18,Ursa Knight,China,F,21,0.62,Zondra Creelman,Bolivia,F,62,0.61
119,11:29:46,Daisi Manley,Bulgaria,F,78,0.61,Elva Kurt,Brazil,F,94,0.65
120,2:16:54,Josefina McCrann,Switzerland,F,32,0.34,Guillemette Buttery,France,F,72,0.61
121,17:49:26,Meredeth Keri,Morocco,M,43,0.76,Consalve Banks,China,M,55,0.51
122,17:30:54,Gerry Roundtree,Zambia,M,5,0.27,Cookie Sikorski,Azerbaijan,F,28,0.93
123,7:23:09,Marsh Derill,Japan,M,61,0.77,Allayne Sturch,Peru,M,58,0.85
124,23:14:13,Diana Ingledow,Malawi,M,86,0.62,Melinda Marzello,Mexico,F,94,0.86
125,8:05:33,Alikee Friday,Colombia,M,90,0.35,Patsy Roscrigg,Indonesia,F,18,0.79
126,6:50:55,Herb Fortune,Indonesia,M,89,0.66,Grenville Jury,China,M,50,0.38
127,6:14:20,Estevan Puckett,Niger,F,22,0.53,Whitby Daulby,China,M,78,0.77
128,19:18:48,Winona Labusch,Thailand,F,76,0.5,May Gheorghescu,Indonesia,F,87,0.76
129,8:21:56,Doria Lillee,Malaysia,F,47,0.77,Aidan Faers,Zambia,F,75,0.87
130,6:41:48,Pattie Gibbin,Bosnia and Herzegovina,F,47,0.31,Arri Del Castello,Portugal,M,77,0.37
131,3:12:25,Rikki Blackham,Iran,F,3,0.03,Audie Vallow,Portugal,F,50,0.68
132,11:08:04,Nert Vowell,Azerbaijan,F,7,0.29,Billi Guiver,Russia,F,29,0.75
133,4:04:27,Dasi Petrovsky,Sweden,F,29,0.68,Joli Loache,Afghanistan,F,22,0.92
134,0:57:33,Arlinda Byer,Philippines,M,50,0.66,Megan Aleavy,China,F,52,0.63
135,14:24:24,Dionne Greally,Thailand,M,11,0.27,Bunny Drains,Brazil,F,45,0.39
136,5:37:07,Isadore Bigadike,French Polynesia,F,38,0.92,Sumner Hadcock,United States,M,78,0.73
137,23:03:47,Beaufort Bispham,Hungary,F,1,0.05,Tam Teasey,Indonesia,M,73,0.48
138,2:04:59,Rosalinde Clerke,South Africa,F,51,0.8,Kimmy Dooland,Indonesia,F,85,0.95
139,18:44:44,Tiphany Rehn,Indonesia,F,54,0.6,Dulciana Flintiff,Colombia,F,23,0.72
140,11:20:23,Olympia Macartney,Japan,F,15,0.93,Orly Marshal,Indonesia,F,17,0.48
141,15:02:33,Kaine Killerby,Finland,F,8,0.11,Shelley Napier,Czech Republic,M,53,0.92
142,19:00:08,Timothee Corke,China,M,22,0.75,Wang Bennedsen,Iran,M,70,0.94
143,3:49:45,Sax Gyngyll,Philippines,F,93,0.47,Peadar Margery,Indonesia,M,57,0.62
144,8:40:27,Bernette Lownes,United States,M,91,0.31,Winny Gymlett,Czech Republic,F,84,0.83
145,1:22:49,Giustino Trusslove,China,F,59,0.79,Rollins Bernardeschi,Portugal,M,27,0.85
146,4:15:27,Bennett Reddy,China,M,68,0.92,Denney Kofax,Portugal,M,36,0.91
147,20:48:05,Georgeanne Coumbe,China,M,60,0.57,Minerva Elfleet,China,F,43,0.7
148,23:34:59,Jobey Gyenes,Tajikistan,F,50,0.31,Concettina Tutt,Russia,F,30,0.95
149,18:05:02,Ahmed Bomfield,China,F,22,0.31,Brewster Sheerin,France,M,33,0.86
150,6:53:16,Maury Bagnold,Poland,F,7,0.1,Pryce Ludee,Indonesia,M,46,0.41
151,16:03:46,Conway Spearett,Indonesia,M,52,0.3,Alistair Vanstone,China,M,12,0.25
152,23:55:20,Nobie Chalfain,Philippines,M,72,0.45,Quincy Standeven,Albania,M,18,0.68
153,0:49:31,Brose Guillot,China,F,43,0.33,Tiler Parmenter,Chile,M,55,0.74
154,14:24:21,Jasmina Oxberry,Serbia,M,89,0.35,Stefanie Estick,East Timor,F,73,0.87
155,18:24:34,Nickie MacFadzan,China,M,33,0.49,Christy Wybourne,Indonesia,F,65,0.69
156,22:25:22,Brittany Devinn,Brazil,F,51,0.82,Lynnelle Visco,Philippines,F,88,0.69
157,10:00:43,Dur Nordass,Czech Republic,F,23,0.51,Huntley Burle,China,M,58,0.43
158,11:40:18,Jesus Bauser,Philippines,M,66,0.79,Wadsworth Balkwill,China,M,37,0.81
159,4:25:58,Scarlet Thorn,Sweden,F,80,0.46,Doroteya Halms,Peru,F,84,0.38
160,8:13:23,Paxton Parlot,Russia,M,48,0.73,Haslett Ravelus,Philippines,M,67,0.72
161,3:26:15,Kincaid Peto,China,M,59,0.63,Normy Bertomieu,Uzbekistan,M,3,0.06
162,9:38:19,Darwin Janczyk,Indonesia,F,88,0.92,Ruttger Bottrill,Sweden,M,22,0.85
163,2:19:25,Aubrie Millen,Canada,F,11,0.3,Freida Haston,Libya,F,26,0.63
164,2:54:10,Gerardo Leal,Netherlands,M,43,0.32,Wells Ryman,South Africa,M,18,0.89
165,2:08:22,Val Harrismith,Indonesia,F,63,0.63,Kitty Skone,Israel,F,40,0.7
166,2:51:49,Clayborn Tuny,Portugal,M,2,0.15,Walt Ayres,Portugal,M,20,0.78
167,8:07:57,Cornela Radeliffe,Peru,F,32,0.62,Odella Swidenbank,Mozambique,F,5,0.23
168,19:49:52,Mavis Strick,China,M,62,0.69,Cordelia Winckle,Canada,F,83,0.68
169,23:18:38,Gilemette Sporgeon,Syria,F,52,0.69,Adeline Jager,Indonesia,F,59,0.94
170,16:22:50,Lockwood Henrichs,Malaysia,M,24,0.5,Sloane Hoolaghan,China,M,40,0.91
171,3:54:36,Hulda Yuryev,Belarus,F,37,0.83,Evita Aggett,Palestinian Territory,F,18,0.93
172,20:03:11,Brandtr Legendre,Philippines,F,87,0.41,Galven Liddle,China,M,34,0.8
173,4:12:02,Lenette Yeandel,China,F,95,0.84,Cherilynn Kettles,Russia,F,4,0.22
174,11:04:37,Candida De Lacey,Costa Rica,F,12,0.21,Eba Nutkins,Russia,F,54,0.4
175,18:44:16,Pammi Cushe,South Korea,F,37,0.58,Leandra Ashborne,Venezuela,F,51,0.41
176,16:09:37,Odelinda Jedrzej,Poland,M,83,0.49,Ellen Eddisforth,Brazil,F,5,0.03
177,11:28:09,Reginald Heaford,Mauritius,F,67,0.79,Sean Lounds,Mongolia,M,89,0.81
178,4:48:25,Theodoric Fardoe,China,F,21,0.3,Waiter Rickersy,Lebanon,M,69,0.78
179,14:24:21,Katine Bastow,China,M,4,0.07,Daphna Guitt,Moldova,F,75,0.92
180,15:59:25,Dane Mendel,Brazil,M,67,0.94,Wallis Cornely,China,M,83,0.59
181,23:58:04,Vivienne Wickstead,Indonesia,F,91,0.88,Sammy Queyos,Philippines,F,76,0.41
182,20:09:34,Hort Falkous,Indonesia,F,83,0.67,Alix Aldwick,Poland,M,33,0.79
183,23:04:44,Harlen Crusham,Poland,M,74,0.53,Vladimir Rockhall,South Africa,M,55,0.43
184,7:55:09,Cristian Bunning,Indonesia,M,12,0.16,Samson Canland,Japan,M,46,0.85
185,3:56:30,Jammie Timmermann,Bosnia and Herzegovina,F,11,0.2,Ebonee Fibbit,Guinea,F,39,0.75
186,8:51:03,Janeta Penwright,Peru,M,90,0.39,Marianna Klejin,Western Sahara,F,69,0.38
187,17:05:25,Rosanna Pratley,Russia,F,87,0.8,Lina Cairney,Indonesia,F,70,0.42
188,22:50:07,Kelcey Aizikov,Ukraine,M,2,0.18,Layne Duffit,Norway,F,35,0.71
189,17:38:38,Melany Buss,Indonesia,M,13,0.29,Danielle Tailour,China,F,49,0.44
190,2:37:49,Carma Ondracek,Indonesia,F,55,0.52,Marci Moxstead,Peru,F,62,0.74
191,18:57:31,Angelika Triplow,Russia,M,69,0.62,Gnni Sneezem,China,F,62,0.6
192,3:38:26,Kaitlyn Marcos,Colombia,F,44,0.44,Constanta Blasi,Indonesia,F,21,0.79
193,4:08:25,Kelci Derisley,Philippines,F,63,0.51,Barbara-anne Bone,Brazil,F,44,0.71
194,12:49:10,Lesly Sondland,China,M,74,0.94,Kristy Ettritch,Indonesia,F,88,0.77
195,17:23:56,Christie Petr,Sweden,M,61,0.46,Tova Monument,Indonesia,F,81,0.65
196,21:03:11,Roanna Kmicicki,Peru,F,25,0.76,Marlene Yelden,Uzbekistan,F,68,0.89
197,18:50:55,Gabe Hibbart,United States,F,64,0.35,Marten Dressel,Russia,M,5,0.2
198,8:28:58,Harmony Moggan,Philippines,M,62,0.74,Cheryl Seatter,Iceland,F,18,0.94
199,22:31:42,Winne Tewes,Portugal,F,60,0.43,Genny MacCosto,China,F,34,0.91
200,4:58:08,Kerrin Ilieve,Panama,F,14,0.35,Marie-jeanne Cunradi,China,F,33,0.94
201,14:06:38,Franky Meach,Belarus,M,93,0.3,Rupert Quennell,Mexico,M,3,0.16
202,2:32:28,Abdul Pheasant,Sweden,M,8,0.29,Case Osband,France,M,3,0.05
203,9:53:53,Drona Chree,Peru,F,18,0.47,Marisa Wabey,Vietnam,F,78,0.61
204,14:24:38,Matilde Bottrell,Nigeria,M,56,0.5,Bill Cuddy,Ecuador,F,61,0.55
205,5:58:04,Etienne Casarini,China,F,47,0.85,Parker Binks,Sweden,M,32,0.6
206,23:22:57,Barnie Jerwood,China,F,76,0.88,Clyde Hacking,Poland,M,56,0.64
207,21:03:37,Jamal Mildner,Chad,F,9,0.29,Sergei Broadnicke,China,M,9,0.25
208,18:00:22,Basile Messier,Ecuador,M,91,0.72,Maury Fraczek,Philippines,M,73,0.62
209,20:08:47,Chanda Blakeley,China,M,35,0.92,Brittni Stedson,Russia,F,58,0.82
210,17:32:30,Annadiane Rove,Indonesia,F,27,0.65,Enrichetta Kearey,Indonesia,F,2,0.27
211,15:48:04,Jervis Heyfield,France,M,18,0.63,Emmott Bouda,China,M,46,0.82
212,7:34:07,Tammara Thackray,China,M,64,0.41,Analise Maryman,China,F,40,0.48
213,3:33:55,Crissie MacKibbon,Indonesia,M,17,0.59,Filia Stretton,China,F,70,0.9
214,6:07:03,Estele Veivers,Portugal,F,68,0.71,Celine Lugden,Indonesia,F,85,0.91
215,11:17:08,Culley Varndall,Ukraine,F,5,0.27,Sutton Sawell,Ethiopia,M,46,0.79
216,15:54:45,Shirl Nials,Bolivia,F,1,0.11,Glori Grinstead,Sweden,F,30,0.93
217,12:32:06,Paulie Gain,Russia,M,55,0.52,Ulrikaumeko Stear,Peru,F,37,0.65
218,18:24:59,Rutter Gainsborough,Indonesia,F,11,0.27,Karlan Larchiere,Indonesia,M,11,0.21
219,4:38:50,Cloe Allerton,China,M,90,0.48,Bernette Fisby,Sri Lanka,F,46,0.6
220,1:27:16,Kristian Comellini,Indonesia,F,57,0.94,Carey Schieferstein,Thailand,M,91,0.65
221,9:56:32,Karlan Sturman,Czech Republic,F,36,0.55,Gray Temprell,Spain,M,55,0.7
222,5:29:58,Issi Bonsall,China,M,39,0.46,Miof mela Gurton,Costa Rica,F,46,0.77
223,8:48:07,Angus Dransfield,Indonesia,F,27,0.58,Ulric Danielot,Portugal,M,63,0.6
224,19:54:26,Devondra Mewrcik,Russia,M,86,0.77,Cecilia Dedenham,China,F,24,0.87
225,17:36:18,Liza Casale,United States,F,90,0.84,Kaylil Claessens,Indonesia,F,53,0.68
226,0:52:43,Kennie Schusterl,Sweden,F,94,0.67,Etienne Danniell,Canada,M,63,0.85
227,11:00:13,Lindsy Purchase,Ireland,M,35,0.73,Ynes Jilliss,Yemen,F,17,0.5
228,5:02:01,Eran Hammer,Russia,M,42,0.7,Audra McKernan,China,F,27,0.84
229,5:49:52,Read Guierre,Kazakhstan,F,16,0.9,Hazel Finlay,Argentina,M,78,0.41
230,16:31:37,Emera Splevin,China,M,9,0.09,Koralle Lyburn,Azerbaijan,F,72,0.92
231,22:49:32,Syd Riccelli,China,F,88,0.9,Gannie Gillfillan,Indonesia,M,18,0.77
232,15:28:49,Sile Cawdery,Poland,F,2,0.27,Ivy Mumberson,Indonesia,F,3,0.17
233,16:11:36,Faydra Buesnel,China,M,15,0.6,Willette Chinnery,Palestinian Territory,F,92,0.74
234,21:23:19,Gerda McCallam,Russia,M,10,0.25,Kori Schall,Czech Republic,F,38,0.32
235,2:10:35,Brear Feasby,Norway,F,38,0.64,La verne Kilban,Malaysia,F,10,0.22
236,12:03:13,Clifford Yurin,China,M,66,0.68,Wilbur Bootell,Afghanistan,M,39,0.36
237,5:05:42,Trudi Blything,Argentina,F,54,0.56,Roxi Fante,China,F,45,0.69
238,1:00:25,Tito Fanstone,Mexico,M,35,0.33,Antoni Narrie,Albania,M,3,0.09
239,21:03:38,Clayton Burtwhistle,Peru,M,52,0.81,Haily McKerron,China,M,10,0.25
240,18:44:34,Raymond Wathan,China,M,93,0.77,Skipper Dagworthy,Peru,M,80,0.61
241,8:05:36,Yves Delbergue,Bosnia and Herzegovina,F,45,0.39,Gordy Trevillion,China,M,43,0.77
242,14:25:55,Brandi Lempel,Portugal,F,86,0.81,Lesli Barefoot,United States,F,86,0.33
243,22:04:35,Devland Crispin,China,F,12,0.06,Pablo Burkitt,Indonesia,M,20,0.6
244,16:46:31,Joly Blenkinsop,Brazil,M,93,0.71,Rosalind Leipold,Tajikistan,F,43,0.53
245,0:15:04,Caresse Nottingam,Philippines,M,20,0.64,Valeria Hurdedge,Philippines,F,76,0.66
246,0:33:45,Eadith Beek,Russia,M,79,0.41,Rebecka Jotcham,Indonesia,F,80,0.76
247,4:43:02,Zita Matcham,Georgia,M,74,0.73,Margarita Livezey,Indonesia,F,67,0.69
248,18:39:54,Carney Stockau,Portugal,F,50,0.75,Kliment Navarro,China,M,75,0.6
249,20:16:49,Mose Kinnear,Ethiopia,F,6,0.09,Syman Duckitt,Sri Lanka,M,85,0.32
250,1:40:08,Bourke Boniface,United States,M,58,0.63,Kellen Grieswood,Poland,M,17,0.54
251,2:25:07,Guinevere Sargint,Botswana,F,47,0.58,Pauletta Percy,Russia,F,22,0.85
252,18:21:19,Edna Dunrige,Indonesia,M,13,0.28,Lenora Wickrath,Spain,F,64,0.47
253,11:16:01,Aylmer Malyj,China,M,69,0.47,Eadmund Horwell,China,M,74,0.53
254,7:17:23,Thadeus Roger,Ecuador,F,30,0.67,Gery Lahive,Libya,M,34,0.86
255,18:58:28,Felita Gurling,Fiji,M,62,0.52,Leanor Methuen,Philippines,F,52,0.39
256,19:13:33,Georgi Dellatorre,Israel,F,73,0.4,Tanny Bront,Philippines,M,67,0.52
257,10:18:22,Ervin Graham,Poland,F,89,0.55,Roth Thulborn,China,M,70,0.36
258,0:49:19,Garrot Duffrie,China,F,27,0.58,Bartlet Joisce,Brazil,M,94,0.46
259,0:54:04,Caritta Gaule,United States,F,71,0.65,Dael Clemenson,China,F,83,0.3
260,4:09:08,Lucky Bonavia,Sweden,F,21,0.72,Joelle Keener,China,F,16,0.5
261,22:07:14,Terrell Chattelaine,Colombia,F,42,0.87,Wood Chevis,Brazil,M,75,0.54
262,14:59:30,Ives Peckitt,Philippines,M,28,0.37,Otho Boocock,Mali,M,90,0.42
263,18:07:43,Kelsy Peyton,Indonesia,F,35,0.92,Madelin Pizey,China,F,33,0.91
264,12:29:45,Eustace Silber,China,F,17,0.93,Pail Egdale,Ukraine,M,81,0.31
265,23:12:54,Euphemia Kull,China,F,19,0.49,Morganica Medler,Indonesia,F,34,0.71
266,22:53:24,Matt Courtin,Kazakhstan,F,93,0.39,Bradford Argrave,Philippines,M,31,0.92
267,8:53:43,Wilbur Swancott,Norway,F,77,0.69,Filberto Styles,China,M,95,0.58
